code,class,P/L,atomtype,total
1TOX,NAD,LIG,N,7
1TOX,NAD,LIG,total,44
2A5F,NAD,PKT,ACC,30
2A5F,NAD,PKT,CB,8
2A5F,NAD,PKT,CA,18
2A5F,NAD,PKT,GRE,24
2A5F,NAD,PKT,DON,32
2A5F,NAD,PKT,total,112
2A5F,NAD,LIG,P,2
2A5F,NAD,LIG,C,21
2A5F,NAD,LIG,O,14
2A5F,NAD,LIG,N,7
2A5F,NAD,LIG,total,44
2CPO,HEM,PKT,ACC,25
2CPO,HEM,PKT,CB,4
2CPO,HEM,PKT,CA,23
2CPO,HEM,PKT,GRE,85
2CPO,HEM,PKT,DON,28
2CPO,HEM,PKT,total,165
2CPO,HEM,LIG,C,34
2CPO,HEM,LIG,FE,1
2CPO,HEM,LIG,O,4
2CPO,HEM,LIG,N,4
2CPO,HEM,LIG,total,43
2GBP,BGC,PKT,ACC,20
2GBP,BGC,PKT,CB,6
2GBP,BGC,PKT,CA,9
2GBP,BGC,PKT,GRE,29
2GBP,BGC,PKT,DON,22
2GBP,BGC,PKT,total,86
2GBP,BGC,LIG,C,6
2GBP,BGC,LIG,O,6
2GBP,BGC,LIG,total,12
2NPX,NAD,PKT,ACC,26
2NPX,NAD,PKT,CB,3
2NPX,NAD,PKT,CA,23
2NPX,NAD,PKT,GRE,55
2NPX,NAD,PKT,DON,26
2NPX,NAD,PKT,total,133
2NPX,NAD,LIG,P,2
2NPX,NAD,LIG,C,21
2NPX,NAD,LIG,O,14
2NPX,NAD,LIG,N,7
2NPX,NAD,LIG,total,44
3GRS,FAD,PKT,ACC,54
3GRS,FAD,PKT,CB,12
3GRS,FAD,PKT,CA,39
3GRS,FAD,PKT,GRE,48
3GRS,FAD,PKT,DON,49
3GRS,FAD,PKT,total,202
3GRS,FAD,LIG,P,2
3GRS,FAD,LIG,C,27
3GRS,FAD,LIG,O,15
3GRS,FAD,LIG,N,9
3GRS,FAD,LIG,total,53
8GPB,AMP,PKT,ACC,9
8GPB,AMP,PKT,CA,4
8GPB,AMP,PKT,GRE,19
8GPB,AMP,PKT,DON,17
8GPB,AMP,PKT,total,49
8GPB,AMP,LIG,P,1
8GPB,AMP,LIG,C,10
8GPB,AMP,LIG,O,7
8GPB,AMP,LIG,N,5
8GPB,AMP,LIG,total,23
1A6Q,PO4,PKT,ACC,9
1A6Q,PO4,PKT,CB,2
1A6Q,PO4,PKT,CA,2
1A6Q,PO4,PKT,DON,8
1A6Q,PO4,PKT,total,21
1A6Q,PO4,LIG,P,1
1A6Q,PO4,LIG,O,4
1A6Q,PO4,LIG,total,5
1B8O,PO4,PKT,ACC,19
1B8O,PO4,PKT,CB,3
1B8O,PO4,PKT,CA,8
1B8O,PO4,PKT,GRE,8
1B8O,PO4,PKT,DON,23
1B8O,PO4,PKT,total,61
1B8O,PO4,LIG,P,1
1B8O,PO4,LIG,O,4
1B8O,PO4,LIG,total,5
1BRW,PO4,PKT,ACC,14
1BRW,PO4,PKT,CB,5
1BRW,PO4,PKT,CA,7
1BRW,PO4,PKT,GRE,7
1BRW,PO4,PKT,DON,16
1BRW,PO4,PKT,total,49
1BRW,PO4,LIG,P,1
1BRW,PO4,LIG,O,4
1BRW,PO4,LIG,total,5
1CQJ,PO4,PKT,ACC,8
1CQJ,PO4,PKT,CB,1
1CQJ,PO4,PKT,CA,4
1CQJ,PO4,PKT,GRE,5
1CQJ,PO4,PKT,DON,10
1CQJ,PO4,PKT,total,28
1CQJ,PO4,LIG,P,1
1CQJ,PO4,LIG,O,4
1CQJ,PO4,LIG,total,5
1D1Q,PO4,PKT,ACC,12
1D1Q,PO4,PKT,CB,4
1D1Q,PO4,PKT,CA,10
1D1Q,PO4,PKT,GRE,13
1D1Q,PO4,PKT,DON,15
1D1Q,PO4,PKT,total,54
1D1Q,PO4,LIG,P,1
1D1Q,PO4,LIG,O,4
1D1Q,PO4,LIG,total,5
1DAK,PO4,PKT,ACC,10
1DAK,PO4,PKT,CB,1
1DAK,PO4,PKT,CA,8
1DAK,PO4,PKT,GRE,16
1DAK,PO4,PKT,DON,11
1DAK,PO4,PKT,total,46
1DAK,PO4,LIG,P,1
1DAK,PO4,LIG,O,4
1DAK,PO4,LIG,total,5
1E9G,PO4,PKT,ACC,12
1E9G,PO4,PKT,CB,1
1E9G,PO4,PKT,GRE,10
1E9G,PO4,PKT,DON,11
1E9G,PO4,PKT,total,34
1E9G,PO4,LIG,P,1
1E9G,PO4,LIG,O,4
1E9G,PO4,LIG,total,5
1EJD,PO4,PKT,ACC,9
1EJD,PO4,PKT,CB,1
1EJD,PO4,PKT,CA,7
1EJD,PO4,PKT,GRE,7
1EJD,PO4,PKT,DON,13
1EJD,PO4,PKT,total,37
1EJD,PO4,LIG,P,1
1EJD,PO4,LIG,O,4
1EJD,PO4,LIG,total,5
1EUC,PO4,PKT,ACC,15
1EUC,PO4,PKT,CB,3
1EUC,PO4,PKT,CA,10
1EUC,PO4,PKT,GRE,5
1EUC,PO4,PKT,DON,17
1EUC,PO4,PKT,total,50
1EUC,PO4,LIG,P,1
1EUC,PO4,LIG,O,4
1EUC,PO4,LIG,total,5
1EW2,PO4,PKT,ACC,22
1EW2,PO4,PKT,CB,4
1EW2,PO4,PKT,CA,3
1EW2,PO4,PKT,GRE,1
1EW2,PO4,PKT,DON,20
1EW2,PO4,PKT,total,50
1EW2,PO4,LIG,P,1
1EW2,PO4,LIG,O,4
1EW2,PO4,LIG,total,5
1FBT,PO4,PKT,ACC,13
1FBT,PO4,PKT,CB,3
1FBT,PO4,PKT,CA,6
1FBT,PO4,PKT,GRE,6
1FBT,PO4,PKT,DON,18
1FBT,PO4,PKT,total,46
1FBT,PO4,LIG,P,1
1FBT,PO4,LIG,O,4
1FBT,PO4,LIG,total,5
1GYP,PO4,PKT,ACC,15
1GYP,PO4,PKT,CB,8
1GYP,PO4,PKT,CA,7
1GYP,PO4,PKT,GRE,4
1GYP,PO4,PKT,DON,18
1GYP,PO4,PKT,total,52
1GYP,PO4,LIG,P,1
1GYP,PO4,LIG,O,4
1GYP,PO4,LIG,total,5
1H6L,PO4,PKT,ACC,18
1H6L,PO4,PKT,CB,3
1H6L,PO4,PKT,CA,1
1H6L,PO4,PKT,GRE,6
1H6L,PO4,PKT,DON,5
1H6L,PO4,PKT,total,33
1H6L,PO4,LIG,P,1
1H6L,PO4,LIG,O,4
1H6L,PO4,LIG,total,5
1HO5,PO4,PKT,ACC,12
1HO5,PO4,PKT,CB,4
1HO5,PO4,PKT,CA,3
1HO5,PO4,PKT,GRE,4
1HO5,PO4,PKT,DON,15
1HO5,PO4,PKT,total,38
1HO5,PO4,LIG,P,1
1HO5,PO4,LIG,O,4
1HO5,PO4,LIG,total,5
1L5W,PO4,PKT,ACC,8
1L5W,PO4,PKT,CA,5
1L5W,PO4,PKT,GRE,9
1L5W,PO4,PKT,DON,12
1L5W,PO4,PKT,total,34
1L5W,PO4,LIG,P,1
1L5W,PO4,LIG,O,4
1L5W,PO4,LIG,total,5
1L7M,PO4,PKT,ACC,18
1L7M,PO4,PKT,CB,4
1L7M,PO4,PKT,CA,6
1L7M,PO4,PKT,GRE,10
1L7M,PO4,PKT,DON,9
1L7M,PO4,PKT,total,47
1L7M,PO4,LIG,P,1
1L7M,PO4,LIG,O,4
1L7M,PO4,LIG,total,5
1LBY,PO4,PKT,ACC,19
1LBY,PO4,PKT,CB,4
1LBY,PO4,PKT,CA,4
1LBY,PO4,PKT,GRE,4
1LBY,PO4,PKT,DON,6
1LBY,PO4,PKT,total,37
1LBY,PO4,LIG,P,1
1LBY,PO4,LIG,O,4
1LBY,PO4,LIG,total,5
1LYV,PO4,PKT,ACC,14
1LYV,PO4,PKT,CB,3
1LYV,PO4,PKT,CA,10
1LYV,PO4,PKT,GRE,11
1LYV,PO4,PKT,DON,19
1LYV,PO4,PKT,total,57
1LYV,PO4,LIG,P,1
1LYV,PO4,LIG,O,4
1LYV,PO4,LIG,total,5
1QF5,PO4,PKT,ACC,16
1QF5,PO4,PKT,CB,2
1QF5,PO4,PKT,CA,7
1QF5,PO4,PKT,GRE,6
1QF5,PO4,PKT,DON,14
1QF5,PO4,PKT,total,45
1QF5,PO4,LIG,P,1
1QF5,PO4,LIG,O,4
1QF5,PO4,LIG,total,5
1TCO,PO4,PKT,ACC,13
1TCO,PO4,PKT,CB,4
1TCO,PO4,PKT,CA,2
1TCO,PO4,PKT,GRE,11
1TCO,PO4,PKT,DON,16
1TCO,PO4,PKT,total,46
1TCO,PO4,LIG,P,1
1TCO,PO4,LIG,O,4
1TCO,PO4,LIG,total,5
