13gs	P09211
3q92	P50053-2KETOHEXOKINASE
3qa2	P50053-2KETOHEXOKINASE
3qai	P50053-2KETOHEXOKINASE
3qak	P29274
3qaq	P48736
3qar	P48736
3qbh	P56817
3qc4	O15530
3qch	P23470
3qci	P23470
3qcj	P23470
3qck	P23470
3qcl	P23470
3qcq	O15530
3qcs	O15530
3qcx	O15530
3qcy	O15530
3qd0	O15530
3qd3	O15530
3qd4	O15530
3qdd	P07900
3qgw	Q08881
3qgy	Q08881
3qi3	O76083
3qi4	O76083
3qk0	P48736
3qkd	Q07817
3qox	Q8TEK3
3qqu	P08069
3qtf	P07900
3qtr	P24941
3que	Q16539
3qxp	P24941
3r00	P11309
3r01	P11309
3r02	P11309
3r04	P11309
3r0t	P68400
3r16	P00918
3r17	P00918
3r21	O14965
3r22	O14965
3r2b	P49137
3r2f	P56817
3r2y	P49137
3r4m	P07900
3r4n	P07900
3r4o	P07900
3r4p	P07900
3r7o	P08581
3r7q	P48736
3r7r	P48736
3r8i	P37231
3r91	P07900
3r92	P07900
3rbu	Q04609
3rcd	P04626
3rey	P29274
3rin	Q16539
3rjw	Q96KQ7
3rkz	P07900
3rlq	P07900
3rlr	P07900
3rm4	Q9BZP6
3rm8	Q9BZP6
3roc	Q16539
3rsv	P56817
3rth	P56817
3rtn	P56817
3rtp	P53779
3rwp	O15530
3rwq	O15530
3s0n	P23946
3s2a	P48736
3s2p	P24941
3s3i	Q16539
3s4q	Q16539
3s5y	P06280
3s71	P00918
3s73	P00918
3s74	P00918
3s7b	Q9NRG4
3s8x	P00918
3s9t	P00918
3sap	P00918
3sax	P00918
3sbh	P00918
3sbi	P00918
3sd5	P48736
3sfc	P00797
3sff	Q9BY41
3sfh	Q9BY41
3shy	O76074
3shz	O76074
3sie	O76074
3sjf	Q04609
3skg	P56817
3sl5	Q08499
3smq	O60678
3sn7	Q9Y233
3sni	Q9Y233
3snl	Q9Y233
3sr4	Q8TEK3
3srv	P43405
3sw2	P00742
3sww	P27487
3sx4	P27487
3sz1	P37231
3t5u	P00918
3tcp	Q12866
3tge	O76074
3thb	P53350
3ti1	P24941
3tiy	P24941
3tjc	O60674
3tjd	O60674
3tkh	O14757
3tki	O14757
3tkm	Q03181
3tku	Q9Y5S2
3tl5	P48736
3tpp	P56817
3tpr	P56817
3tti	P53779
3ttj	P53779
3tu7	P00734
3tv7	Q13464
3tv8	P06280
3tvx	P27815
3twj	Q13464
3txo	P24723
3ty0	P37231
3tzm	P36897
3u4u	P68400
3u5j	O60885
3u5l	O60885
3u6a	P56817
3u6h	P08581
3u6i	P08581
3u6j	P35968
3u8w	Q16539
3ua9	Q9H2K2
3udd	O95271
3udy	P56817
3ue4	P00519
3ufl	P56817
3ug2	P00533
3uh2	O95271
3uh4	O95271
3ui7	Q9Y233
3uli	P24941
3umw	P11309
3umx	P11309
3unj	P24941
3unk	P24941
3unz	O14965
3uo4	O14965
3uo5	O14965
3uo6	O14965
3uo9	O94925
3uod	O14965
3uoh	O14965
3uoj	O14965
3uok	O14965
3up2	O14965
3up7	O14965
3usn	P08254
3uuo	Q9Y233
3uvp	Q16539
3uyt	P48730
3uza	P29274
3uzc	P29274
3uzp	P48730
3v01	Q02750
3v04	Q02750
3v3v	P45983
3v49	P10275
3v4v	P13612
3v5g	P00918
3v5l	Q08881
3v5q	Q16288
3v7x	P00918
3v8s	Q13464
3v8t	Q08881
3v8w	Q08881
3vbd	P00918
3vbw	P11309
3vc4	P11309
3veu	P56817
3vf3	P56817
3vf8	P43405
3vf9	P43405
3vg1	P56817
3vha	P07900
3vhc	P07900
3vhd	P07900
3vhe	P35968
3vhu	P08235
3vi7	O60760
3vid	P35968
3vjc	P37268
3vjk	P27487
3vjl	P27487
3vjm	P27487
3vnt	P35968
3vo3	P35968
3voz	O94925
3vp1	O94925
3vqh	P17612
3vqu	P33981
3vry	P08631
3vs3	P08631
3vv7	P56817
3vw6	Q99683
3vw7	P25116
3vw9	Q04760
3vyd	P00797
3vzd	Q9NYA1
3vzv	Q00987
3w1f	P33981
3w2o	P00533
3w2r	P00533
3w2s	P00533
3w32	P00533
3w33	P00533
3w55	P28482
3w5e	Q07343
3w69	Q00987
3wcf	P37268
3wch	P37268
3wcl	P37268
3wd9	Q07343
3wff	P08235
3wgw	P12004
3wha	P07900
3wi2	Q9Y233
3wix	Q07820
3wiy	Q07820
3wiz	Q07817
3wpn	P52732
3ws8	Q9Y233
3ws9	Q9Y233
3wv1	P45452
3wv2	P45452
3wv3	P45452
3wvm	P05413
3wzj	P33981
3wzk	P33981
3wzu	O14733
3zbf	P08922
3zbx	P08581
3zc5	P08581
3zc6	P52333
3zcl	P08581
3zcw	P52732
3zep	P52333
3zim	P42336
3zk6	Q07817
3zln	Q07817
3zlo	Q07817
3zlq	Q9Y5Z0
3zlr	Q07817
3zm4	Q02750
3zmg	P56817
3zmm	O60674
3znr	Q8WUI4
3zos	Q08345
3zrk	P49841
3zrm	P49841
3zw3	P48736
3zxh	P45452
3zxz	P08581
3zya	Q16539
3zyu	O60885
4a4l	P53350
4a4o	P53350
4a4v	P37231
4a4w	P37231
4a4x	P51955
4a51	P52732
4a7c	P11309
4a9m	P25440
4a9r	O96017
4a9s	O96017
4a9t	O96017
4a9u	O96017
4aa0	Q16539
4aa4	Q16539
4aa5	Q16539
4aac	Q16539
4abu	P02766
4abv	P02766
4acc	P49841
4acd	P49841
4ach	P49841
4acm	P24941
4acu	P56817
4ael	Q9Y233
4af3	Q96GD4
4afe	P51955
4afj	P49841
4ag8	P35968
4agc	P35968
4agd	P35968
4akn	P25440
4alg	P25440
4alu	P11309
4alw	P11309
4an2	Q02750
4an9	Q02750
4anb	Q02750
4anq	Q9UM73
4anu	P48736
4anv	P48736
4anw	P48736
4anx	P48736
4aof	P48736
4aoi	P08581
4ap0	P52732
4ap7	P08581
4app	O96013
4aq3	P10415
4aqc	O60674
4ark	Q02750
4asd	P35968
4ase	P35968
4ask	O15054
4at5	Q16620
4au8	Q00535
4avu	Q9H2K2
4avw	Q9H2K2
4ax9	P00734
4ay5	O15294
4ay6	O15294
4ayv	P00734
4ayy	P00734
4az0	P10619
4az3	P10619
4azy	P56817
4b00	P56817
4b05	P56817
4b0g	O14965
4b1d	P56817
4b1j	Q86W56
4b7p	P07900
4bah	P00734
4bb2	P08185
4bbe	O60674
4bbf	O60674
4bcg	P50750
4bcp	P24941
4bf1	P00918
4bf6	P00918
4bfd	P56817
4bgg	Q04771
4bhn	Q99683
4bib	Q99683
4bic	Q99683
4bid	Q99683
4bie	Q99683
4bis	O75164
4bjb	Q9H2K2
4bjc	Q9H2K2
4bjx	O60885
4bkj	Q08345
4bqx	Q9GZT9
4bs4	Q9H2K2
4bti	P00742
4btt	P00742
4btu	P00742
4btw	Q16853
4btx	Q16853
4bvb	Q9NTG7
4bw1	O60885
4bxn	P52732
4byi	O14965
4byj	O14965
4bzo	P11309
4bzr	P12821
4bzs	P12821
4c4e	P33981
4c4f	P33981
4c4g	P33981
4c4h	P33981
4c4i	P33981
4c4j	P33981
4c61	O60674
4ca5	P12821
4ca6	P12821
4cbt	P56524
4cby	P56524
4cik	P00747
4ckr	Q08345
4cl9	O60885
4clb	O60885
4cli	Q9UM73
4clj	Q9UM73
4cmo	Q9UM73
4cmu	Q9UM73
4cnh	Q9UM73
4cq0	P00918
4csj	P04150
4cwn	P07900
4cwo	P07900
4cwp	P07900
4cwq	P07900
4cwr	P07900
4cws	P07900
4cwt	P07900
4d08	O00408
4d0w	O60674
4d0x	O60674
4d1s	O60674
4d2r	P08069
4d2s	P33981
4d83	P56817
4d85	P56817
4d88	P56817
4d89	P56817
4d8c	P56817
4dbn	P15056
4dce	Q9UM73
4ddl	Q9Y233
4dea	O14965
4ded	O14965
4deg	P08581
4deh	P08581
4dei	P08581
4dem	P14324
4der	P02766
4des	P02766
4det	P02766
4deu	P02766
4dew	P02766
4dff	Q9Y233
4dh6	P56817
4dhf	O14965
4di2	P56817
4dij	Q00987
4djh	P41145
4dju	P56817
4djv	P56817
4djw	P56817
4djx	P56817
4djy	P56817
4dk5	P48736
4dk7	P55055
4dmy	P43235
4dpf	P56817
4dpi	P56817
4drk	Q13451
4drm	Q13451
4drn	Q13451
4dro	Q13451
4drp	Q13451
4dtk	P11309
4dtt	P14735
4dum	P06730
4dvi	O95271
4dwk	P14735
4e3d	P00918
4e3f	P00918
4e3g	P00918
4e3h	P00918
4e49	P00918
4e4l	P23458
4e4n	P23458
4e5w	P23458
4e6d	O60674
4e6q	O60674
4e90	O76083
4e93	P07332
4e96	O60885
4ear	P00491
4eb8	P00491
4ebv	Q05397
4ec0	O60760
4edy	O60760
4edz	O60760
4ee0	O60760
4efu	P07900
4egi	P07900
4egk	P07900
4eh3	Q16539
4ehr	Q07817
4ehz	P23458
4ejn	P31749
4ek9	Q8TEK3
4ekg	Q8TEK3
4eki	Q8TEK3
4eoi	P24941
4eok	P24941
4eol	P24941
4eon	P24941
4eop	P24941
4eor	P24941
4eos	P24941
4eqc	Q13153
4ere	Q00987
4erf	Q00987
4erw	P24941
4ew2	P22102
4ew3	P22102
4ewh	Q07912
4f08	O60674
4f09	O60674
4f1s	P48736
4f4p	P43405
4f63	P11362
4f64	P11362
4f65	P11362
4fc0	P15056
4fcd	Q9Y233
4fcq	P07900
4fcr	P07900
4fjz	P48736
4fk6	P23458
4flh	P48736
4fli	P53582
4flk	P53582
4fm7	P56817
4fm8	P56817
4fmu	Q9BYW2
4fnz	Q9UM73
4fob	Q9UM73
4foc	Q9UM73
4fod	Q9UM73
4frk	P56817
4frs	P56817
4fs4	P56817
4fse	P56817
4fsl	P56817
4fvq	O60674
4fvr	O60674
4g0c	P00918
4g11	P48736
4g16	Q9Y6M4
4g17	Q9Y6M4
4g1f	P27487
4g2j	O76083
4g2l	O76083
4g2w	O76074
4g2y	O76074
4g31	Q9NZJ5
4g34	Q9NZJ5
4g8l	Q05823
4g95	P00374
4gb9	P48736
4gcj	P24941
4gg5	P08581
4gg7	P08581
4ghi	Q99814
4gid	P56817
4gih	P29597
4gii	P29597
4gj2	P29597
4gj3	P29597
4gj7	P00797
4gja	P00797
4gjc	P00797
4gjd	P00797
4gmy	O60674
4gq4	O00255
4gql	P39900
4gr0	P39900
4gr3	P39900
4gr8	P39900
4gs6	O43318
4gs8	P14735
4gs9	Q99814
4gsc	P14735
4gu6	Q05397
4gv1	P31749
4gz3	O15294
4h1e	P56817
4h1j	Q14289
4h1m	Q14289
4h3f	P56817
4h3g	P56817
4h3i	P56817
4h3j	P56817
4h5c	P14324
4ha5	P56817
4hai	P34913
4hbw	O60885
4hbx	O60885
4hby	O60885
4hco	P53350
4heu	Q9Y233
4hg7	Q00987
4hge	O60674
4hgl	Q9Y6M4
4hgs	Q9Y6M4
4hgt	P48730
4hki	Q9H2K2
4hkk	Q9H2K2
4hkn	Q9H2K2
4hl5	Q9H2K2
4hlf	Q9H2K2
4hlg	Q9H2K2
4hlh	Q9H2K2
4hlk	Q9H2K2
4hlm	Q9H2K2
4hmh	Q9H2K2
4hnf	P48730
4hni	P49674
4hra	Q8TEK3
4ht0	P00918
4ht2	O43570
4htx	O00408
4hu1	Q8N1Q1
4hvb	P48736
4hvd	P52333
4hvg	P52333
4hvh	P52333
4hvi	P52333
4hw2	Q07820
4hw3	Q07820
4hxl	O60885
4hxm	O60885
4hxr	O60885
4hxs	O60885
4hy0	P98170
4hy5	Q13490
4hyf	Q9H2K2
4hyh	O14757
4hyi	O14757
4hzt	P56817
4i0r	P43405
4i0t	P43405
4i0z	P56817
4i10	P56817
4i3z	P24941
4i4e	Q05397
4i4f	Q05397
4i5c	P23458
4i5m	Q9NYY3
4i6f	Q9NYY3
4i9i	O95271
4i9z	O76074
4ia0	O76074
4idt	Q99558
4idv	Q99558
4idz	Q9C0B1
4ie0	Q9C0B1
4ie4	Q9C0B1
4ie6	Q9C0B1
4ieh	P10415
4ijq	P00492
4ikr	P53582
4iks	P53582
4im0	Q9UHD2
4iq6	P49841
4ish	P08709
4isi	P08709
4ith	Q13546
4itp	P00918
4iue	Q9H2K2
4iva	O60674
4ivb	P23458
4ivc	P23458
4ivd	P23458
4iwd	P08581
4iwz	P00918
4j0p	P56817
4j0r	O60885
4j0s	O60885
4j0t	P56817
4j0v	P56817
4j0y	P56817
4j0z	P56817
4j17	P56817
4j1c	P56817
4j1e	P56817
4j1f	P56817
4j1h	P56817
4j1i	P56817
4j1k	P56817
4j21	Q9H2K2
4j22	Q9H2K2
4j3i	O60885
4j3l	Q9H2K2
4j3m	Q9H2K2
4j51	Q9Y2R2
4j52	P53350
4j53	P53350
4j6i	P48736
4jai	O14965
4jaj	O14965
4jaz	P37231
4jbo	O14965
4jbp	O14965
4jbs	Q6P179
4jh0	P27487
4jia	O60674
4jib	O00408
4jik	O14757
4jlg	Q8WTS6
4jlj	P27707
4jlm	P27707
4jln	P27707
4jnc	P34913
4jnm	P43490
4joa	Q9UM73
4jpa	P45452
4jpe	P56817
4jps	P42336
4jq7	P00533
4jq8	P00533
4jr3	P00533
4jr5	P43490
4jrv	P00533
4jsa	P00918
4jsr	Q9NTG7
4jsz	P00918
4jt8	Q9NTG7
4jt9	Q9NTG7
4jv6	O43924
4jv9	Q00987
4jvj	P14324
4jwr	Q00987
4jyt	Q9Y5Y6
4jyu	P08709
4jyv	P08709
4jz1	Q9Y5Y6
4jzd	P08709
4jze	P08709
4jzf	P08709
4jzi	Q9Y5Y6
4jzr	Q9GZT9
4k0y	P11309
4k18	P11309
4k1b	P11309
4k4f	O95271
4k4j	P19793
4k6i	P19793
4k77	P23458
4k8s	P56817
4k9h	P56817
4k9y	Q05397
4kb8	P48730
4kba	P48730
4kcg	P27707
4ke0	P56817
4ke1	P56817
4kin	Q16539
4kip	Q16539
4kiq	Q16539
4kn0	P14207
4kn1	P14207
4kn2	P14207
4knb	P08581
4kni	P00918
4knj	P00918
4knm	Q8N1Q1
4knn	Q8N1Q1
4kod	P55072
4kp0	P23946
4kp5	O43570
4kp6	Q07343
4kp8	O43570
4krs	O95271
4ksp	P15056
4ksq	P15056
4kwf	P05091
4kwg	P05091
4kz0	P48736
4kzc	P48736
4kzl	Q9H2K2
4kzu	Q9H2K2
4l02	Q9NYA1
4l09	Q9H2K2
4l0b	Q9H2K2
4l0i	Q9H2K2
4l0s	Q9H2K2
4l0t	Q9H2K2
4l0v	Q9H2K2
4l10	Q9H2K2
4l19	P45452
4l23	P42336
4l2f	Q9H2K2
4l2g	Q9H2K2
4l2k	Q9H2K2
4l2x	P14324
4l31	Q9H2K2
4l32	Q9H2K2
4l33	Q9H2K2
4l34	Q9H2K2
4l3p	O43318
4l52	O43318
4l53	O43318
4l70	Q9Y6F1
4l7b	Q14145
4l7f	P45983
4l7l	Q9Y6F1
4l7r	Q9Y6F1
4l7u	Q9Y6F1
4l8m	Q16539
4lgu	Q13490
4li6	O95271
4li7	O95271
4li8	O95271
4lko	P27487
4lkt	Q01469
4llk	Q9Y233
4lm0	Q9Y233
4lmn	Q02750
4lmu	P11309
4lnw	P10827
4loy	P00734
4lpg	P14324
4lph	P14324
4lsj	P04150
4lts	P43490
4lvt	P10415
4lwc	P27694
4lww	P43490
4lxa	P56817
4lxb	P00734
4lxk	P56817
4lxm	P56817
4lxz	Q92769
4ly1	Q92769
4ly9	Q14397
4m0e	P22303
4m0f	P22303
4m2r	P00918
4m2u	P00918
4m2v	P00918
4m2w	P00918
4m3q	Q12866
4m6p	P43490
4m7b	Q9H2K2
4mbi	P11309
4mbl	P11309
4mf0	Q08881
4mf1	Q08881
4mga	P03372
4mh7	Q12866
4mha	Q12866
4mjo	P09467
4mo8	P00918
4mq2	Q13627
4mqu	Q14397
4mr3	O60885
4mr4	O60885
4mr5	P25440
4mr6	P25440
4msg	O95271
4msk	O95271
4msl	Q99523
4msu	Q14397
4mt9	O95271
4mti	Q13490
4mu7	Q13490
4muw	Q9Y233
4mvh	Q9Y233
4mxc	P08581
4myq	Q07343
4n00	P56817
4n1z	P14324
4n3l	P00734
4n3r	O95271
4n4v	O95271
4n6y	P11309
4n6z	P11309
4n70	P11309
4n7e	Q99523
4n8e	P27487
4n9d	P43490
4n9e	P43490
4na7	P03951
4na8	P03951
4na9	P08709
4nb6	P51449
4nbl	P55212
4nct	Q13627
4ngm	Q04609
4ngr	Q04609
4nh8	P07900
4nh9	P14625
4nk9	P11362
4nks	P11362
4ntj	Q9H244
4nuc	O60885
4nud	O60885
4nue	O60885
4nus	P51812
4nvq	Q96KQ7
4nw6	P51812
4nw7	Q07343
4nwm	Q06187
4nze	P00734
4o04	P07900
4o05	P07900
4o07	P07900
4o09	P07900
4o0a	P27694
4o0b	P07900
4o0t	Q13153
4o0v	O96013
4o0x	O96013
4o0y	O96013
4o12	P43490
4o13	P43490
4o15	P43490
4o1l	P55263
4o28	P43490
4o6e	P28482
4o71	O60885
4o72	O60885
4o74	O60885
4o77	O60885
4o78	O60885
4o7a	O60885
4o7b	O60885
4o7e	O60885
4o7f	O60885
4o97	Q9Y5Y6
4o9v	Q9Y5Y6
4oas	Q00987
4oba	Q00987
4obo	O95819
4obz	P07339
4oc0	Q04609
4oc2	Q04609
4oc3	Q04609
4oc4	Q04609
4oc5	Q04609
4oc6	P07339
4occ	Q00987
4ocz	P34913
4od0	P34913
4od9	P07339
4ode	Q00987
4odf	Q00987
4oew	O76074
4oex	O76074
4og3	O00255
4og4	O00255
4og5	O00255
4og8	O00255
4ogi	O60885
4ogj	O60885
4ogn	Q00987
4ogt	Q00987
4ogv	Q00987
4ohm	Q14397
4oho	Q14397
4ohp	Q14397
4oo9	P41594
4oq3	Q00987
4oq5	Q07820
4oq6	Q07820
4otf	Q06187
4oth	Q16512
4oti	Q16512
4otw	P21860
4p10	Q96IY4
4p1r	Q9Y233
4p4b	Q04609
4p5e	O43598
4p5z	P29320
4p6g	P25774
4p6w	P04150
4p6x	P04150
4p7e	O60674
4p90	Q13153
4pce	O60885
4pf3	P08235
4phu	O14842
4phw	Q9Y233
4pjt	P09874
4pm0	Q13946
4pmm	P04629
4pmp	P04629
4pms	P04629
4pmt	P04629
4pnl	Q9H2K2
4pnm	Q9H2K2
4pnr	Q9H2K2
4poh	P19793
4poj	P19793
4pp3	P19793
4pp5	P19793
4pp9	Q08881
4ppa	Q08881
4ppb	Q08881
4ppc	Q08881
4pqn	Q08881
4prj	O14965
4ps3	P48736
4ps5	O60885
4ps7	P48736
4ps8	P48736
4psq	P02753
4pte	P49841
4ptg	P49841
4puz	P43405
4pv0	P43405
4px6	P43405
4pyv	P00797
4pyx	P00918
4pyy	P00918
4pzh	P00918
4pzw	P56817
4pzx	P56817
4q06	P00918
4q07	P00918
4q08	P00918
4q09	P00918
4q0l	O43570
4q18	P27707
4q19	P27707
4q1a	P27707
4q1b	P27707
4q1c	P27707
4q1f	P27707
4q1n	P00797
4q6r	O95470
4q93	P54577
4q9z	Q04759
4qd6	Q08881
4qoc	Q00987
4qp7	P28482
4qp8	P28482
4qp9	P28482
4qpa	P28482
4qr3	O60885
4qr4	O60885
4qr5	O60885
4qrc	P22455
4qt1	P52333
4qta	P28482
4qtb	P27361
4qtc	Q8TF76
4qtd	P45983
4qvx	Q07817
4qye	O14757
4qyh	O14757
4r1v	P08581
4r1y	P08581
4r4c	P27694
4r4i	P27694
4r4o	P27694
4r4t	P27694
4r5n	P56817
4r8y	P56817
4r91	P56817
4r92	P56817
4r93	P56817
4ra5	Q04759
4rad	P00492
4rak	P55055
4rcd	P56817
4rce	P56817
4rcf	P56817
4rfc	P00918
4rfm	Q08881
4rfz	Q06187
4rg0	Q06187
4rio	P52333
4riv	P00918
4rj3	P24941
4rj4	P00533
4rj5	P00533
4rj6	P00533
4rj7	P00533
4rj8	P00533
4rn0	Q9BY41
4rn1	Q9BY41
4rn2	Q9BY41
4rrn	P56817
4rro	P56817
4rrs	P56817
4rss	P43405
4rux	P00918
4ruy	P00918
4ruz	P00918
4rvk	O14757
4rvl	O14757
4rvm	O14757
4rwj	P11362
4rwk	P11362
4rx7	P43405
4rx8	P43405
4rx9	P43405
4rxa	P14324
4ryc	P00797
4ryg	P00797
4rz1	P00797
4s1g	P00797
4tjw	Q9H2K2
4tjy	Q9H2K2
4tkf	Q9H2K2
4tkg	Q9H2K2
4tkh	P05413
4tkj	P05413
4tpk	P06276
4tpm	Q9Y233
4tpp	Q9Y233
4tuh	Q07817
4tv3	P42336
4tw9	P48730
4twc	P48730
4twp	P00519
4tyo	Q13526
4u0i	P10721
4u44	O95819
4u6r	O75460
4u93	P07900
4uda	P08235
4urk	P48736
4usw	Q96PN6
4uxl	P08922
4uxq	P22455
4uye	P55201
4uyf	P25440
4uyg	P25440
4uyh	P25440
4uzd	O14965
4v24	Q9NYA1
4w4v	P53779
4w7p	Q13464
4wa9	P00519
4waf	P42336
4wcu	Q08499
4wiv	O60885
4wk7	O75173
4wke	O75173
4wki	O75173
4wlb	P51449
4wnp	O75385
4wov	P29597
4wp7	P00352
4wpf	P51449
4wpn	P00352
4wr7	P00915
4wrs	P11309
4wsy	P11309
4wt2	Q00987
4wt6	P11309
4wup	P00915
4wuy	Q9NRG4
4ww6	P00918
4ww8	O43570
4wxi	P03951
4wy1	P56817
4wy6	P56817
4wzv	P14780
4x0f	Q07343
4x1f	O75469
4x6h	P43235
4x6i	P43235
4x6m	P03951
4x6n	P03951
4x6o	P03951
4x6p	P03951
4x6x	P34913
4x6y	P34913
4x7h	Q9NZJ5
4x7i	P56817
4x7j	Q9NZJ5
4x7l	Q9NZJ5
4x7n	Q9NZJ5
4x7q	Q9P1W9
4xaq	Q14416
4xar	Q14832
4xdo	Q9H3R0
4xh6	P11309
4xhk	P11309
4xip	P07900
4xiq	P07900
4xj0	P28482
4xjs	P28907
4xjt	P28907
4xkx	P56817
4xmb	Q14145
4xmo	P08581
4xnv	P47900
4xnw	P47900
4xt9	P51449
4xta	P37231
4xub	Q9UIF8
4xuc	P21964
4xue	P21964
4xum	P37231
4xv2	P15056
4xx3	P00797
4xx4	P00797
4xx9	O15530
4xxs	P56817
4xyf	P08581
4y2b	Q13946
4y2y	P34913
4y46	P53779
4y5h	P53779
4y73	Q9NWZ3
4y79	P00742
4y8d	O14976
4y8x	P03951
4y8y	P03951
4y8z	P03951
4ybi	P56817
4yff	Q59H18
4yfi	Q59H18
4yk5	O14684
4ykn	P27986
4yl0	O14684
4yl1	O14684
4yl3	O14684
4ylj	Q13627
4ylk	Q13627
4yll	Q13627
4ymj	Q16288
4ynd	Q9NRG4
4yne	P04629
4yo6	Q9NWZ3
4yp8	Q9NWZ3
4yqh	Q9Y233
4yti	O60674
4yvc	Q13464
4yve	Q13464
4yzc	O75460
4yzu	P00740
4z0q	P00918
4z1j	P00918
4z1k	P00918
4z1n	P00918
4z3v	Q06187
4z93	O60885
4z9l	P53779
4zae	P00740
4zbi	Q07820
4zim	O60674
4zji	Q13153
4zjj	Q13153
4zjr	P51449
4zjw	P51449
4zk5	O95819
4zly	Q06187
4zlz	Q06187
4zo5	Q9Y233
4ztm	Q9NWZ3
4ztn	Q9NWZ3
4zxx	P08709
4zxy	P08709
4zy4	Q13153
4zy5	Q13153
4zy6	Q13153
4zyf	Q00987
4zyi	Q00987
4zz1	P22102
4zz2	P22102
4zzx	Q9UGN5
4zzy	Q9UGN5
4zzz	P09874
5a00	P09874
5a5q	Q6PL18
5a5r	Q6PL18
5a5s	O60885
5a81	Q6PL18
5a85	O60885
5acy	O60885
5aep	O60674
5ai5	P34913
5ais	O60760
5aiv	O60760
5aix	O60760
5ajz	Q16875
5ak0	Q16875
5ak2	P03372
5al4	Q9H2K2
5al5	Q9H2K2
5am1	P34913
5am6	P11362
5am7	P11362
5ap0	P33981
5ap3	P33981
5ap5	P33981
5ap7	P33981
5ar5	O43353
5ar7	O43353
5ar8	O43353
5aut	P53355
5auu	P53355
5auv	P53355
5auw	P53355
5aux	P53355
5auy	P53355
5auz	P53355
5av0	P53355
5avi	Q13133
5axp	Q9Y233
5axq	Q9Y233
5bml	Q13464
5bms	O96013
5bnj	P49336
5boy	P45452
5bpa	P45452
5bq0	Q06187
5bue	P28482
5bui	P28482
5bvd	P28482
5bve	P28482
5bvf	P28482
5bvn	Q08345
5bvo	Q08345
5bvw	Q08345
5byi	P00918
5c1w	Q9Y233
5c26	P43405
5c28	Q9Y233
5c29	Q9Y233
5c2a	Q9Y233
5c2e	Q9Y233
5c2h	Q9Y233
5c4o	P51449
5ceo	Q12852
5cep	Q12852
5ceq	Q12852
5cf4	O60674
5cf5	O60674
5cf6	O60674
5cf8	O60674
5cgc	P41594
5cgd	P41594
5ci7	O75385
5cjf	Q9ULX7
5clm	P56817
5cnj	Q14416
5cnm	Q14832
5ct7	P15056
5cxh	P43405
5cxz	P43405
5cy3	P43405
5d1j	P24941
5d9k	P51812
5d9l	P51812
5dd9	O00255
5dda	O00255
5ddb	O00255
5ddd	O00255
5dde	O00255
5ddf	O00255
5dgz	P11309
5dhj	P11309
5dit	Q13451
5dwr	P11309
5e2r	P00918
5ew3	P35968
5fl4	Q16790
5fl5	Q16790
5fl6	Q16790
830c	P45452
966c	P03956
